school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,G1,G2,G3
GP,F,15,U,GT3,T,4,2,health,services,15,14,15
GP,F,16,U,GT3,T,3,3,other,other,6,10,10
GP,M,16,U,LE3,T,4,3,services,other,15,15,15
GP,M,16,U,LE3,T,2,2,other,other,12,12,11
GP,F,17,U,GT3,A,4,4,other,teacher,6,5,6
GP,M,15,U,LE3,A,3,2,services,other,16,18,19
GP,M,15,U,GT3,T,3,4,other,other,14,15,15
GP,F,15,U,GT3,T,4,4,teacher,health,10,8,9
GP,F,15,U,GT3,T,2,1,services,other,10,12,12
GP,M,15,U,LE3,T,4,4,health,services,14,14,14
GP,M,15,U,GT3,T,4,3,teacher,other,10,10,11
GP,M,15,U,GT3,A,2,2,other,other,14,16,16
GP,F,16,U,GT3,T,4,4,health,other,14,14,14
GP,F,16,U,GT3,T,4,4,services,services,13,14,14
GP,F,16,U,GT3,T,3,3,other,other,8,10,10
GP,M,17,U,GT3,T,3,2,services,services,6,5,5
GP,M,16,U,LE3,T,4,3,health,other,8,10,10
GP,M,15,U,GT3,T,4,3,teacher,other,13,14,15
GP,M,15,U,GT3,T,4,4,health,health,12,15,15
GP,M,16,U,LE3,T,4,2,teacher,other,15,15,16
GP,M,16,U,LE3,T,2,2,other,other,13,13,12
GP,F,15,R,GT3,T,2,4,services,health,10,9,8
GP,F,16,U,GT3,T,2,2,services,services,6,9,8
GP,M,15,U,GT3,T,2,2,other,other,12,12,11
GP,M,15,U,GT3,T,4,2,health,services,15,16,15
GP,M,16,U,LE3,A,3,4,services,other,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,10,12,11
GP,M,15,U,GT3,T,4,4,health,services,9,11,12
GP,M,15,U,GT3,T,4,4,services,services,17,16,17
GP,M,15,U,LE3,T,3,3,other,other,8,10,12
GP,M,16,U,GT3,T,3,2,other,other,12,14,15
GP,F,15,U,GT3,T,2,3,other,other,8,7,6
GP,M,15,U,LE3,T,4,3,teacher,services,15,16,18
GP,M,16,R,GT3,A,4,4,other,teacher,15,16,15
GP,F,15,R,GT3,T,3,4,services,health,12,12,11
GP,F,16,U,LE3,T,2,2,other,other,7,10,11
GP,M,15,U,LE3,T,4,4,teacher,other,12,12,12
GP,M,15,U,GT3,T,4,4,services,teacher,19,18,18
GP,M,15,U,GT3,T,2,2,services,services,8,8,11
GP,F,15,U,LE3,A,4,3,other,other,8,8,6
GP,F,16,U,LE3,A,3,3,other,services,11,12,11
GP,M,16,U,GT3,T,4,3,health,services,19,19,20
GP,M,15,U,GT3,T,4,2,teacher,other,15,15,14
GP,F,15,U,GT3,T,4,4,services,teacher,7,7,7
GP,F,16,U,LE3,T,2,2,services,services,12,13,13
GP,F,15,U,LE3,T,4,2,health,other,11,13,13
