school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,G1,G2,G3
GP,F,18,U,GT3,A,4,4,at_home,teacher,5,6,6
GP,F,17,U,GT3,T,1,1,at_home,other,5,5,6
GP,F,15,U,LE3,T,1,1,at_home,other,7,8,10
GP,F,15,R,GT3,T,2,2,at_home,other,14,13,13
GP,F,16,U,GT3,T,3,4,at_home,other,5,5,5
GP,F,16,U,LE3,T,2,2,at_home,other,8,7,6
GP,F,15,R,GT3,T,1,1,at_home,other,7,10,10
GP,F,16,U,GT3,T,2,2,at_home,other,10,13,13
GP,F,15,U,GT3,T,1,2,at_home,services,16,15,15
GP,F,19,U,GT3,T,0,1,at_home,other,7,8,9
GP,F,15,U,GT3,T,1,1,at_home,other,8,0,0
GP,M,15,R,GT3,T,3,4,at_home,teacher,9,0,0
GP,M,17,R,GT3,T,3,4,at_home,other,10,0,0
GP,F,15,U,GT3,T,1,2,at_home,other,10,11,11
GP,M,16,U,LE3,T,2,1,at_home,other,12,13,14
GP,M,15,R,GT3,T,2,3,at_home,services,11,8,8
GP,F,18,R,GT3,T,1,1,at_home,other,9,8,10
GP,M,16,R,GT3,T,2,2,at_home,other,17,15,15
GP,M,17,R,LE3,T,2,1,at_home,other,7,6,0
GP,M,17,U,GT3,T,1,3,at_home,services,10,10,10
GP,F,16,U,GT3,T,1,3,at_home,services,8,7,0
GP,M,17,R,GT3,T,1,2,at_home,other,8,9,10
GP,F,17,U,GT3,T,1,1,at_home,services,8,8,9
GP,M,17,U,GT3,T,1,2,at_home,services,7,8,8
GP,F,17,U,GT3,T,3,4,at_home,services,10,9,9
GP,F,16,U,GT3,T,1,1,at_home,other,9,9,10
GP,F,17,U,GT3,T,2,3,at_home,other,7,7,8
GP,F,17,R,GT3,T,2,1,at_home,services,6,6,6
GP,F,17,U,GT3,T,1,1,at_home,other,6,5,0
GP,M,18,U,LE3,T,2,1,at_home,other,10,8,9
GP,M,16,U,GT3,T,3,2,at_home,other,11,9,10
GP,F,17,R,GT3,T,2,1,at_home,services,13,11,11
GP,M,16,U,GT3,T,3,3,at_home,other,7,10,10
GP,F,18,U,GT3,T,2,2,at_home,services,9,10,0
GP,F,17,U,GT3,T,2,4,at_home,health,10,10,10
GP,F,18,R,LE3,T,1,1,at_home,other,12,12,12
GP,F,19,U,LE3,T,1,1,at_home,other,12,10,10
GP,F,19,U,GT3,T,2,1,at_home,other,14,12,13
GP,F,19,U,GT3,T,1,1,at_home,health,15,13,13
GP,F,17,R,GT3,T,3,4,at_home,services,11,11,10
GP,F,17,R,GT3,T,2,4,at_home,other,12,14,14
GP,F,18,R,GT3,T,2,2,at_home,other,10,9,0
GP,F,18,U,GT3,T,2,3,at_home,other,11,10,10
MS,M,18,U,LE3,T,1,3,at_home,services,8,7,8
MS,F,18,U,LE3,T,1,1,at_home,services,18,16,16
MS,F,18,R,LE3,A,1,4,at_home,other,13,13,13
MS,M,18,R,LE3,T,1,1,at_home,other,13,12,12
MS,M,18,R,GT3,T,1,3,at_home,other,10,10,10
MS,F,18,U,GT3,T,2,3,at_home,services,11,10,10
MS,M,18,R,LE3,T,1,2,at_home,services,14,12,12
MS,F,17,R,GT3,T,3,1,at_home,other,10,10,10
MS,F,18,R,GT3,T,2,2,at_home,other,10,9,10
GP,F,18,U,GT3,A,4,4,at_home,teacher,0,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,9,11,11
GP,F,15,U,LE3,T,1,1,at_home,other,12,13,12
GP,F,15,R,GT3,T,2,2,at_home,other,14,13,12
GP,F,16,U,GT3,T,3,4,at_home,other,12,11,11
GP,F,16,U,LE3,T,2,2,at_home,other,13,11,11
GP,F,15,R,GT3,T,1,1,at_home,other,13,13,13
GP,F,16,U,GT3,T,2,2,at_home,other,8,10,10
GP,F,15,U,GT3,T,1,2,at_home,services,14,14,14
GP,F,19,U,GT3,T,0,1,at_home,other,9,10,11
GP,F,15,U,GT3,T,1,1,at_home,other,11,12,13
GP,M,16,U,GT3,T,2,1,at_home,other,9,9,11
GP,M,15,R,GT3,T,3,4,at_home,teacher,12,11,11
GP,M,17,R,GT3,T,3,4,at_home,other,10,9,10
GP,F,16,R,GT3,T,1,1,at_home,other,14,13,13
GP,F,15,U,LE3,A,2,1,at_home,other,11,10,10
GP,F,15,U,GT3,T,1,2,at_home,other,13,12,13
GP,F,15,U,GT3,T,1,2,at_home,services,11,11,11
GP,M,16,U,LE3,T,2,1,at_home,other,9,10,10
GP,M,15,R,GT3,T,2,3,at_home,services,7,8,8
GP,F,18,R,GT3,T,1,1,at_home,other,11,10,11
GP,M,16,R,GT3,T,2,2,at_home,other,12,10,11
GP,M,17,R,LE3,T,2,1,at_home,other,8,8,9
GP,M,16,U,GT3,T,1,3,at_home,services,9,8,8
GP,F,16,U,GT3,T,1,3,at_home,services,14,13,13
GP,M,17,R,GT3,T,1,2,at_home,other,9,9,10
GP,F,17,U,GT3,T,1,1,at_home,services,12,11,12
GP,M,17,U,GT3,T,1,2,at_home,services,10,11,12
GP,F,17,U,GT3,T,3,4,at_home,services,8,9,8
GP,F,16,U,GT3,T,1,1,at_home,other,12,13,13
GP,F,17,U,GT3,T,2,3,at_home,other,12,13,13
GP,F,17,R,GT3,T,2,1,at_home,services,11,10,11
GP,F,17,U,GT3,T,1,1,at_home,other,12,12,12
GP,M,18,U,LE3,T,2,1,at_home,other,9,10,11
GP,M,16,U,GT3,T,3,2,at_home,other,12,12,12
GP,F,18,U,LE3,T,2,2,at_home,services,9,8,10
GP,F,17,R,GT3,T,2,1,at_home,services,13,13,13
GP,F,17,R,LE3,T,1,1,at_home,other,15,14,15
GP,F,17,U,GT3,T,1,1,at_home,other,10,9,10
GP,M,16,U,GT3,T,3,3,at_home,other,9,11,10
GP,F,18,U,GT3,T,2,2,at_home,services,11,12,13
GP,F,17,U,GT3,T,2,4,at_home,health,15,16,16
GP,M,18,U,GT3,T,1,2,at_home,other,10,10,11
GP,F,18,R,LE3,T,1,1,at_home,other,17,17,18
GP,M,19,R,LE3,T,2,1,at_home,services,9,10,11
GP,F,17,R,GT3,T,3,4,at_home,services,15,15,17
GP,F,18,U,GT3,T,3,3,at_home,other,11,12,14
GP,F,17,U,GT3,T,3,3,at_home,other,11,12,11
